"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"Tarbimine";"Tootmine";"Planeeritud tarbimine";"Planeeritud tootmine"
"1765479600";"11.12.2025 21:00";"";"";"985,1";"301,5"
"1765480500";"11.12.2025 21:15";"";"";"974";"298,6"
"1765481400";"11.12.2025 21:30";"";"";"959";"296,4"
"1765482300";"11.12.2025 21:45";"";"";"970,5";"294,4"
"1765483200";"11.12.2025 22:00";"";"";"919,6";"289,3"
"1765484100";"11.12.2025 22:15";"";"";"931,3";"281,6"
"1765485000";"11.12.2025 22:30";"";"";"912";"275,9"
"1765485900";"11.12.2025 22:45";"";"";"892,4";"279,1"
"1765486800";"11.12.2025 23:00";"";"";"860,3";"275,8"
"1765487700";"11.12.2025 23:15";"";"";"848,1";"278,1"
"1765488600";"11.12.2025 23:30";"";"";"841,1";"281"
"1765489500";"11.12.2025 23:45";"";"";"827,9";"285,4"
